#Geometry,HF/cc-pVTZ,MP2/cc-pVTZ,CCSD/cc-pVTZ,CCSD(T)/cc-pVTZ,HF@pyscf+ccpvtz,CCSD@pyscf+ccpvtz,CCSD(T)@pyscf+ccpvtz,DFT(PBE)@pyscf+ccpvtz
methane_00000,-40.211553127662,-40.410193182210996,-40.430801564397996,-40.437096861332996,-40.21155204811653,-40.44716825194425,-40.45375493992991,-40.46296669479407
methane_00001,-40.212536759117,-40.410809282615,-40.431140363564,-40.437292192543,-40.21253482688115,-40.447863040251065,-40.45430286675083,-40.4624280215389
methane_00002,-40.20780780495,-40.406805477571,-40.427441988683,-40.433787048903,-40.20780684354431,-40.44375942441417,-40.45039860270966,-40.45989607508796
methane_00003,-40.209982952424,-40.408246597844,-40.428423627836,-40.434515153942,-40.20998060860491,-40.44534505612221,-40.451724090628026,-40.45933782014454
methane_00004,-40.208651233258,-40.407549033013,-40.428121102449005,-40.434430225061,-40.20865011506184,-40.44450014685314,-40.451102419977055,-40.46038189584549
methane_00005,-40.208905789538,-40.407751743302995,-40.42819988759,-40.434466445537,-40.20890424420679,-40.44473347702704,-40.45129270419118,-40.46016388577412
methane_00006,-40.210435503391,-40.409090463366,-40.42961753751,-40.435882546319,-40.21043419826003,-40.446084110669986,-40.452640434998955,-40.461602718345205
methane_00007,-40.210065372886,-40.40862320627,-40.429011253356,-40.435215886695,-40.2100636495527,-40.44565532191784,-40.452150283922485,-40.46061947148217
methane_00008,-40.210544231518,-40.409057049999,-40.429408918291,-40.435597080735995,-40.21054241312629,-40.44608795193863,-40.45256596868804,-40.46091786425532
methane_00009,-40.207339112115,-40.406419739533,-40.426944627238,-40.433263476008,-40.207337979017886,-40.443334416865476,-40.449947524717295,-40.45924989200042
methane_00010,-40.205463421404,-40.404131045706,-40.424316479502004,-40.430453161128,-40.20546128896703,-40.441199649826736,-40.447626838404446,-40.455544745339964
methane_00011,-40.203540191917,-40.402780501835,-40.42364550179,-40.430084019918,-40.20353972306401,-40.43978497851483,-40.44652009679937,-40.45663928743363
methane_00012,-40.20957502704,-40.407793471191,-40.428115300347,-40.434246157314,-40.20957299776221,-40.444952712501,-40.45137141761684,-40.45925783869532
methane_00013,-40.21021719881,-40.408746979558,-40.429212696553996,-40.435438555192,-40.21021566470732,-40.44579486657891,-40.45231111479516,-40.46095091296279
methane_00014,-40.20722754475,-40.406214223677004,-40.426832264794,-40.433163820902,-40.20722649401407,-40.44317824884439,-40.44980372698977,-40.45922343737809
methane_00015,-40.208798302754005,-40.407614465234,-40.428257622638995,-40.434581550813,-40.20879726837052,-40.444624016410344,-40.45124093976771,-40.46056734796427
methane_00016,-40.207942920496,-40.406344430668995,-40.426696990543,-40.432856052097,-40.20794107759145,-40.443465589472325,-40.44991380921441,-40.45804293359291
methane_00017,-40.203976885011,-40.40301001267,-40.423699186394,-40.430046981744,-40.203976026951494,-40.44006093228623,-40.44670348066587,-40.45619011065665
methane_00018,-40.205896507057,-40.404363368302995,-40.424721421084,-40.430883482573,-40.20589461709595,-40.44152447706154,-40.447976273134714,-40.456072488238156
methane_00019,-40.208180307012,-40.406584206186,-40.427011303099,-40.433198130598,-40.20817862263203,-40.44372360754117,-40.450199929218535,-40.4585082551478
methane_00020,-40.203606387126,-40.40299811327,-40.423622838666,-40.430003551750005,-40.2036054382377,-40.43992520283218,-40.44660301279733,-40.456337250678125
methane_00021,-40.207117348192,-40.405731724371,-40.425973770121004,-40.432128561764,-40.207115297357745,-40.44280057500576,-40.449245778146256,-40.45730522914512
methane_00022,-40.208953648183,-40.407742325938,-40.428303036909,-40.434592948094,-40.20895246010467,-40.44472441921482,-40.4513066942118,-40.460445802241665
methane_00023,-40.210194117316,-40.408539546518,-40.428772394285005,-40.434894045437005,-40.21019197661931,-40.4456049798449,-40.45201485322127,-40.459882350917475
methane_00024,-40.20865026912,-40.407609922367,-40.428311642059995,-40.434676470903,-40.20864947180946,-40.44456264972313,-40.45122152038173,-40.46087893070463
methane_00025,-40.207666131515005,-40.40636539214,-40.426810354219,-40.433043030998,-40.207664665267856,-40.443404796450295,-40.449929023665305,-40.4586147505255
