#Geometry     HF/cc-pVTZ       MP2/cc-pVTZ      CCSD/cc-pVTZ     CCSD(T)/cc-pVTZ
methane_00000 -40.211553127662 -40.410193182211 -40.430801564398 -40.437096861333
methane_00001 -40.212536759117 -40.410809282615 -40.431140363564 -40.437292192543
methane_00002 -40.207807804950 -40.406805477571 -40.427441988683 -40.433787048903
methane_00003 -40.209982952424 -40.408246597844 -40.428423627836 -40.434515153942
methane_00004 -40.208651233258 -40.407549033013 -40.428121102449 -40.434430225061
methane_00005 -40.208905789538 -40.407751743303 -40.428199887590 -40.434466445537
methane_00006 -40.210435503391 -40.409090463366 -40.429617537510 -40.435882546319
methane_00007 -40.210065372886 -40.408623206270 -40.429011253356 -40.435215886695
methane_00008 -40.210544231518 -40.409057049999 -40.429408918291 -40.435597080736
methane_00009 -40.207339112115 -40.406419739533 -40.426944627238 -40.433263476008
methane_00010 -40.205463421404 -40.404131045706 -40.424316479502 -40.430453161128
methane_00011 -40.203540191917 -40.402780501835 -40.423645501790 -40.430084019918
methane_00012 -40.209575027040 -40.407793471191 -40.428115300347 -40.434246157314
methane_00013 -40.210217198810 -40.408746979558 -40.429212696554 -40.435438555192
methane_00014 -40.207227544750 -40.406214223677 -40.426832264794 -40.433163820902
methane_00015 -40.208798302754 -40.407614465234 -40.428257622639 -40.434581550813
methane_00016 -40.207942920496 -40.406344430669 -40.426696990543 -40.432856052097
methane_00017 -40.203976885011 -40.403010012670 -40.423699186394 -40.430046981744
methane_00018 -40.205896507057 -40.404363368303 -40.424721421084 -40.430883482573
methane_00019 -40.208180307012 -40.406584206186 -40.427011303099 -40.433198130598
methane_00020 -40.203606387126 -40.402998113270 -40.423622838666 -40.430003551750
methane_00021 -40.207117348192 -40.405731724371 -40.425973770121 -40.432128561764
methane_00022 -40.208953648183 -40.407742325938 -40.428303036909 -40.434592948094
methane_00023 -40.210194117316 -40.408539546518 -40.428772394285 -40.434894045437
methane_00024 -40.208650269120 -40.407609922367 -40.428311642060 -40.434676470903
methane_00025 -40.207666131515 -40.406365392140 -40.426810354219 -40.433043030998
methane_00026 -40.209456252251 -40.408284733300 -40.428741266648 -40.435007101886
methane_00027 -40.206896833317 -40.405897866093 -40.426376154640 -40.432666010742
methane_00028 -40.205782211660 -40.404935181789 -40.425528173683 -40.431878118243
methane_00029 -40.209763676206 -40.408395789259 -40.428764257047 -40.434972326248
methane_00030 -40.205185217669 -40.404187391533 -40.424414467781 -40.430618406083
methane_00031 -40.206884837924 -40.405985796877 -40.426395969794 -40.432678360127
methane_00032 -40.206858884826 -40.405834482398 -40.426326293889 -40.432618864781
methane_00033 -40.208154169285 -40.407066484352 -40.427564741705 -40.433854528499
methane_00034 -40.208885145617 -40.407488468762 -40.427944930393 -40.434171586476
methane_00035 -40.208530751678 -40.407293572617 -40.427884017981 -40.434179392587
methane_00036 -40.208818655081 -40.407462312473 -40.427935198037 -40.434172806340
methane_00037 -40.208343936226 -40.407270337564 -40.427736564319 -40.434014743556
methane_00038 -40.205950845956 -40.405159514659 -40.425627805211 -40.431947659202
methane_00039 -40.206498398579 -40.405319084167 -40.425749473717 -40.431995432609
methane_00040 -40.204935167395 -40.404263120220 -40.424880735539 -40.431258941934
methane_00041 -40.207806672622 -40.406066710173 -40.426202678307 -40.432271107473
methane_00042 -40.201631334960 -40.400884502657 -40.421802327827 -40.428253779537
methane_00043 -40.207653499032 -40.405704075042 -40.425811828237 -40.431842461344
methane_00044 -40.204918437989 -40.404240765882 -40.424905204002 -40.431300592141
methane_00045 -40.209366594576 -40.407740629897 -40.427910375023 -40.434013621302
methane_00046 -40.205823693207 -40.405019760290 -40.425705793297 -40.432088307622
methane_00047 -40.210936532145 -40.409112887146 -40.429257435410 -40.435329158242
methane_00048 -40.207783051625 -40.406517192861 -40.427036008830 -40.433299604621
